antecedent_product_id,antecedent_label_en,consequent_product_id,consequent_label_en,pair_count,antecedent_count,consequent_count,support,confidence,lift,chi_square,p_value,q_bh,phi,retained
P0070,"Caru' cu Flori potatoes, 180 g",P0095,Product P0095,858,4003,3929,0.02753795294797317,0.21433924556582562,1.6997118539308806,324.49810164732105,1.5175335961088901e-72,1.1497424676074994e-71,0.10205358443771445,True
P0599,Product P0599,P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",854,2260,5898,0.027409570882947654,0.37787610619469025,1.9961827468138293,564.6482186662012,8.193746490402958e-125,1.1919169894706169e-123,0.1346204890844499,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0599,Product P0599,854,5898,2260,0.027409570882947654,0.14479484571041032,1.9961827468138293,564.6482186662012,8.193746490402958e-125,1.1919169894706169e-123,0.1346204890844499,True
P0165,"Honey lemonade, 500 ml",P0070,"Caru' cu Flori potatoes, 180 g",847,3686,4003,0.027184902269153,0.22978838849701574,1.7885378017490678,383.20688941954154,2.4933235578178558e-85,2.2858957996464544e-84,0.11090186179195242,True
P0070,"Caru' cu Flori potatoes, 180 g",P0165,"Honey lemonade, 500 ml",847,4003,3686,0.027184902269153,0.2115913065201099,1.7885378017490678,383.20688941954154,2.4933235578178558e-85,2.2858957996464544e-84,0.11090186179195242,True
P0076,"Grilled pork neck, 150 g",P0599,Product P0599,837,2088,2260,0.02686394710658921,0.40086206896551724,5.526398001220628,3586.0570516324756,0.0,0.0,0.3392585332706793,True
P0599,Product P0599,P0076,"Grilled pork neck, 150 g",837,2260,2088,0.02686394710658921,0.37035398230088495,5.526398001220628,3586.0570516324756,0.0,0.0,0.3392585332706793,True
P0537,Product P0537,P0082,"Tripe soup, 300/100 g",834,1610,2454,0.026767660557820074,0.5180124223602485,6.576900180716488,4514.41133862562,0.0,0.0,0.3806472941015609,True
P0082,"Tripe soup, 300/100 g",P0537,Product P0537,834,2454,1610,0.026767660557820074,0.33985330073349634,6.576900180716488,4514.41133862562,0.0,0.0,0.3806472941015609,True
P0009,"Borsec sparkling mineral water, 750 ml",P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",817,3139,5898,0.02622203678146163,0.2602739726027397,1.3749332255652018,114.57933322190956,9.729484816585975e-27,2.3907360213728152e-26,0.060642253025995525,True
P0535,"Grilled minced-meat rolls with mustard, 40/20/30 g",P0009,"Borsec sparkling mineral water, 750 ml",817,5898,3139,0.02622203678146163,0.13852153272295695,1.3749332255652018,114.57933322190956,9.729484816585975e-27,2.3907360213728152e-26,0.060642253025995525,True
P0070,"Caru' cu Flori potatoes, 180 g",P0149,"Beck's draught beer, 0.4 L",815,4003,5044,0.02615784574894887,0.2035973020234824,1.2576290918211022,58.88647055434344,1.6703682077013973e-14,2.732191476165254e-14,0.04347403446837793,True
P0149,"Beck's draught beer, 0.4 L",P0070,"Caru' cu Flori potatoes, 180 g",815,5044,4003,0.02615784574894887,0.16157811260904045,1.2576290918211022,58.88647055434344,1.6703682077013973e-14,2.732191476165254e-14,0.04347403446837793,True
P0599,Product P0599,P0070,"Caru' cu Flori potatoes, 180 g",808,2260,4003,0.02593317713515422,0.35752212389380533,2.782742146929625,1141.6688614399932,2.9009955834935275e-250,8.791628282198441e-249,0.1914221813211546,True
P0070,"Caru' cu Flori potatoes, 180 g",P0599,Product P0599,808,4003,2260,0.02593317713515422,0.20184861353984512,2.782742146929625,1141.6688614399932,2.9009955834935275e-250,8.791628282198441e-249,0.1914221813211546,True
P0082,"Tripe soup, 300/100 g",P0072,"French fries, 180 g",804,2454,5580,0.025804795070128703,0.3276283618581907,1.8293757832286108,399.7515881694503,6.237503847995333e-89,6.022227166515849e-88,0.11327062106568458,True
P0072,"French fries, 180 g",P0082,"Tripe soup, 300/100 g",804,5580,2454,0.025804795070128703,0.14408602150537633,1.8293757832286108,399.7515881694503,6.237503847995333e-89,6.022227166515849e-88,0.11327062106568458,True
P0009,"Borsec sparkling mineral water, 750 ml",P0072,"French fries, 180 g",799,3139,5580,0.025644317488846807,0.2545396623128385,1.421271014100557,135.15047326503958,3.0607147615042084e-31,8.475227930967237e-31,0.06586140153181824,True
P0072,"French fries, 180 g",P0009,"Borsec sparkling mineral water, 750 ml",799,5580,3139,0.025644317488846807,0.1431899641577061,1.421271014100557,135.15047326503958,3.0607147615042084e-31,8.475227930967237e-31,0.06586140153181824,True
P0152,"Stella Artois draught beer, 0.4 L",P0072,"French fries, 180 g",786,2832,5580,0.02522707577751388,0.2775423728813559,1.549711059473908,205.36787493715642,1.407721730197865e-46,6.046552786007365e-46,0.08118736335528769,True
